license_plate,serviceOnDuty,id,observationDateTime,location.type,location.coordinates,emergencyVehicleType,location.longitudes,location.latitudes,coordinates_formatted
KA02G1603,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-02-01 03:49:18+00:00,Point,"[77.569588, 12.906738]",MOTORCYCLE AMBULANCE,77.569588,12.906738,"77.569588, 12.906738"
KA02G1621,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-02-01 04:02:27+00:00,Point,"[77.536835, 12.968776]",MOTORCYCLE AMBULANCE,77.536835,12.968776,"77.536835, 12.968776"
KA51G5235,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-02-01 04:04:06+00:00,Point,"[77.535034, 13.029453]",AMBULANCE,77.535034,13.029453,"77.535034, 13.029453"
KA02G1615,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-02-01 04:27:47+00:00,Point,"[77.782578, 12.85335]",MOTORCYCLE AMBULANCE,77.782578,12.85335,"77.782578, 12.85335"
KA02G1622,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-02-01 15:20:07+00:00,Point,"[77.559021, 13.017893]",MOTORCYCLE AMBULANCE,77.559021,13.017893,"77.559021, 13.017893"
KA02G1604,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-02-02 03:27:08+00:00,Point,"[77.553162, 12.972803]",MOTORCYCLE AMBULANCE,77.553162,12.972803,"77.553162, 12.972803"
KA02G1605,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-02-03 06:39:27+00:00,Point,"[77.746468, 12.938143]",MOTORCYCLE AMBULANCE,77.746468,12.938143,"77.746468, 12.938143"
KA02G1617,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-02-07 06:20:22+00:00,Point,"[77.549789, 12.976891]",MOTORCYCLE AMBULANCE,77.549789,12.976891,"77.549789, 12.976891"
KA51G5244,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2022-02-18 07:46:59+00:00,Point,"[77.522026, 12.994121]",,77.522026,12.994121,"77.522026, 12.994121"
KA51G5252,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,2021-12-31 20:22:54+00:00,Point,"[77.704742, 13.017768]",AMBULANCE,77.704742,13.017768,"77.704742, 13.017768"
